Symbol,Name,Index,Sector ,ESG,MarketCap,
ADRO,ADURO BIOTECH CVR,Russell 2000,Health Care,null, NA ,
CWENA,CLEARWAY ENERGY INC CLASS A,Russell 2000,Utilities,null, NA ,
CRDA,CRAWFORD CLASS A,Russell 2000,Financials,null, NA ,
GEFB,GREIF INC CLASS B,Russell 2000,Materials,null, NA ,
GTXI,GTXI INC - CVR,Russell 2000,Health Care,null, NA ,
LGFB,LIONS GATE ENTERTAINMENT NON VOTIN,Russell 2000,Communication Services,null, NA ,
PDLI,PDL BIOPHARMA INC,Russell 2000,Health Care,null, NA ,
WLLBW,WHITING PETROLEUM EQUITY WARRANTS,Russell 2000,Energy,null, NA ,
WLLAW,WHITING PETROLEUM EQUITY WARRANTS,Russell 2000,Energy,null, NA ,
SO,Southern Company,S&P 500,Utilities,null," 79,329,804,288 ",
ROP,Roper,S&P 500,Industrials,null," 50,060,316,672 ",
WBD,Warner Bros. Discovery,S&P 500,Communication Services,null," 47,711,674,368 ",
PH,Parker,S&P 500,Industrials,null," 37,333,135,360 ",
PPL,PPL,S&P 500,Utilities,null," 21,256,249,344 ",
CEG,Constellation Energy,S&P 500,Utilities,null," 20,191,102,976 ",
WAB,Wabtec,S&P 500,Industrials,null," 17,304,070,144 ",
NWS,News Corp (Class B),S&P 500,Communication Services,null," 12,188,196,864 ",
OGN,Organon,S&P 500,Health Care,null," 8,418,211,328 ",
UA,Under Armour (Class C),S&P 500,Consumer Discretionary,null," 7,215,421,952 ",
CIVI,CIVITAS RESOURCES INC,Russell 2000,Energy,null," 5,487,227,392 ",
PVH,PVH,S&P 500,Consumer Discretionary,null," 5,046,578,176 ",
FUL,HB FULLER,Russell 2000,Materials,null," 3,699,406,848 ",
ESMT,ENGAGESMART INC,Russell 2000,Information Technology,null," 3,538,725,120 ",
SG,SWEETGREEN INC CLASS A,Russell 2000,Consumer Discretionary,null," 3,044,773,888 ",
RUSHB,RUSH ENTERPRISES INC CLASS B,Russell 2000,Industrials,null," 2,916,452,864 ",
LFST,LIFESTANCE HEALTH GROUP INC,Russell 2000,Health Care,null," 2,889,297,920 ",
LTH,LIFE TIME GROUP HOLDINGS INC,Russell 2000,Consumer Discretionary,null," 2,865,713,664 ",
BCO,BRINKS,Russell 2000,Industrials,null," 2,850,528,512 ",
CRGY,CRESCENT ENERGY CLASS A,Russell 2000,Energy,null," 2,763,398,144 ",
STER,STERLING CHECK CORP,Russell 2000,Industrials,null," 2,629,592,576 ",
CENTA,CENTRAL GARDEN AND PET CLASS A,Russell 2000,Consumer Staples,null," 2,318,120,192 ",
LILA,LIBERTY LATIN AMERICA LTD CLASS A,Russell 2000,Communication Services,null," 2,144,832,128 ",
RELY,REMITLY GLOBAL INC,Russell 2000,Information Technology,null," 1,986,601,600 ",
TSE,TRINSEO PLC,Russell 2000,Materials,null," 1,872,215,552 ",
XPRO,EXPRO GROUP HOLDINGS NV,Russell 2000,Energy,null," 1,689,473,920 ",
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Russell 2000,Information Technology,null," 1,676,830,336 ",
AVDX,AVIDXCHANGE HOLDINGS INC,Russell 2000,Information Technology,null," 1,675,995,520 ",
CTOS,CUSTOM TRUCK ONE SOURCE INC,Russell 2000,Industrials,null," 1,668,024,448 ",
SNCY,SUN COUNTRY AIRLINES HOLDINGS INC,Russell 2000,Industrials,null," 1,662,573,312 ",
PRCT,PROCEPT BIOROBOTICS CORP,Russell 2000,Health Care,null," 1,644,949,888 ",
SOVO,SOVOS BRANDS INC,Russell 2000,Consumer Staples,null," 1,534,588,928 ",
ECOL,US ECOLOGY INC,Russell 2000,Industrials,null," 1,512,275,328 ",
HRT,HIRERIGHT HOLDINGS CORP,Russell 2000,Industrials,null," 1,464,798,976 ",
BHG,BRIGHT HEALTH GROUP INC,Russell 2000,Financials,null," 1,408,930,944 ",
FNA,PARAGON INC,Russell 2000,Health Care,null," 1,405,147,264 ",
KNTK,KINETIK HOLDINGS INC CLASS A,Russell 2000,Energy,null," 1,386,014,464 ",
BATRK,LIBERTY MEDIA LIBERTY BRAVES CORP,Russell 2000,Communication Services,null," 1,355,379,584 ",
FBRT,FRANKLIN BSP REALTY TRUST INC,Russell 2000,Financials,null," 1,200,124,672 ",
USER,USERTESTING INC,Russell 2000,Information Technology,null," 1,133,471,232 ",
CCSI,CONSENSUS CLOUD SOLUTIONS INC,Russell 2000,Information Technology,null," 1,104,179,200 ",
HLTH,CUE HEALTH INC,Russell 2000,Health Care,null," 982,489,920 ",
CINC,CINCOR PHARMA INC,Russell 2000,Health Care,null," 949,535,296 ",
ARIS,ARIS WATER SOLUTIONS INC CLASS A,Russell 2000,Industrials,null," 913,285,888 ",
VTYX,VENTYX BIOSCIENCES INC,Russell 2000,Health Care,null," 899,127,552 ",
CDRE,CADRE HOLDINGS INC,Russell 2000,Industrials,null," 894,252,928 ",
ENFN,ENFUSION INC CLASS A,Russell 2000,Information Technology,null," 885,374,528 ",
DICE,DICE THERAPEUTICS INC,Russell 2000,Health Care,null," 824,254,208 ",
FWRG,FIRST WATCH RESTAURANT GROUP INC,Russell 2000,Consumer Discretionary,null," 787,073,472 ",
PTLO,PORTILLO S INC CLASS A,Russell 2000,Consumer Discretionary,null," 736,823,808 ",
COCO,THE VITA COCO COMPANY INC,Russell 2000,Consumer Staples,null," 616,908,288 ",
AMLX,AMYLYX PHARMACEUTICALS INC,Russell 2000,Health Care,null," 585,585,728 ",
TSVT,2SEVENTY BIO INC,Russell 2000,Health Care,null," 581,064,128 ",
AIRS,AIRSCULPT TECHNOLOGIES INC,Russell 2000,Health Care,null," 574,763,264 ",
AURA,AURA BIOSCIENCES INC,Russell 2000,Health Care,null," 523,663,616 ",
DOUG,DOUGLAS ELLIMAN INC,Russell 2000,Real Estate,null," 503,003,104 ",
AKA,A K A BRANDS HOLDING CORP,Russell 2000,Consumer Discretionary,null," 492,721,824 ",
DTC,SOLO BRANDS INC CLASS A,Russell 2000,Consumer Discretionary,null," 412,739,232 ",
LVLU,LULU S FASHION LOUNGE HOLDINGS INC,Russell 2000,Consumer Discretionary,null," 397,658,400 ",
TYRA,TYRA BIOSCIENCES INC,Russell 2000,Health Care,null," 380,513,216 ",
AIP,ARTERIS INC,Russell 2000,Information Technology,null," 359,999,936 ",
THRX,THESEUS PHARMACEUTICALS INC,Russell 2000,Health Care,null," 339,597,408 ",
ACLX,ARCELLX INC,Russell 2000,Health Care,null," 332,707,776 ",
TKNO,ALPHA TEKNOVA INC,Russell 2000,Health Care,null," 320,569,952 ",
TCBX,THIRD COAST BANCSHARES INC,Russell 2000,Financials,null," 309,790,528 ",
REFI,CHICAGO ATLANTIC REAL ESTATE FINAN,Russell 2000,Financials,null," 306,274,560 ",
TALS,TALARIS THERAPEUTICS INC,Russell 2000,Health Care,null," 304,932,224 ",
LAB,STANDARD BIOTOOLS INC,Russell 2000,Health Care,null," 241,631,632 ",
TRDA,ENTRADA THERAPEUTICS INC,Russell 2000,Health Care,null," 214,216,800 ",
ZY,ZYMERGEN INC,Russell 2000,Materials,null," 187,684,640 ",
TCRT,ALAUNOS THERAPEUTICS INC,Russell 2000,Health Care,null," 162,978,224 ",
VIGL,VIGIL NEUROSCIENCE INC,Russell 2000,Health Care,null," 117,427,000 ",
XLO,XILIO THERAPEUTICS INC,Russell 2000,Health Care,null," 116,754,304 ",
ISO,ISOPLEXIS CORP,Russell 2000,Health Care,null," 87,835,272 ",
PYXS,PYXIS ONCOLOGY INC,Russell 2000,Health Care,null," 83,008,960 ",
SDIG,STRONGHOLD DIGITAL MINING INC CLAS,Russell 2000,Information Technology,null," 81,391,584 ",
GMTX,GEMINI THERAPEUTICS INC,Russell 2000,Health Care,null," 67,836,880 ",
EBET,ESPORTS TECHNOLOGIES INC,Russell 2000,Consumer Discretionary,null," 54,382,936 ",
ESTE,EARTHSTONE ENERGY INC CLASS A,Russell 2000,Energy,62.3," 1,189,020,160 ",100
NOG,NORTHERN OIL AND GAS INC,Russell 2000,Energy,62.1," 2,158,429,440 ",99.6497373
MBII,MARRONE BIO INNOVATIONS INC,Russell 2000,Materials,59.7," 202,347,456 ",95.44658494
